match_id,Pt,Set1,Set2,Gm1,Gm2,Pts,CourtSide,Gm#,TbSet,TB?,TBpt,Svr,Ret,Serving,1st,2nd,Notes,1stNoLet,2ndNoLet,1stSV,2ndSV,1stNoSV,2ndNoSV,1stIn,2ndIn,isRally1st,isRally2nd,Sv1,Sv2,Rally,isAce,isUnret,isRallyWinner,isForced,isUnforced,isDouble,rallyNoSpec,rallyNoError,rallyNoDirection,rallyLen,PtWinner,isSvrWinner,PtsAfter,GmW,Gm1,Gm2,SetW,Set1,Set2,RevTB,TBrev,rallyCount,T1st,T2nd,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,45,0,0,4,3,0-0,Due,8,1,0,,2,1,MR,6d,6d,Raonic incorrect challenge (1st serve),6d,6d,0,0,6d,6d,0,0,0,0,6d,6d,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,0,1,0,0-15,0,4,3,0,0,0,,,0,6d,6d,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,46,0,0,4,3,0-15,Adv,8,1,0,,2,1,MR,6r18f1*,,,6r18f1*,,0,,6r18f1*,,1,,1,0,6,,r18f1*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,r18f1,r18f1,rf,2,2,1,15-15,0,4,3,0,0,0,,,3,6 r18 f1*,,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,47,0,0,4,3,15-15,Due,8,1,0,,2,1,MR,4*,,,4*,,0,,4*,,1,,0,0,4*,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,2,1,30-15,0,4,3,0,0,0,,,1,4*,,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,48,0,0,4,3,30-15,Adv,8,1,0,,2,1,MR,5+s17f-3d@,,,5+s17f-3d@,,1,,5s17f-3d@,,1,,1,0,5,,s17f-3d@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,s17f3d,s17f3,sf,2,1,0,30-30,0,4,3,0,0,0,,,2,5+ s17 f-3d@,,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,49,0,0,4,3,30-30,Adv,8,1,0,,2,1,MR,5d,5s27f+1f3n@,,5d,5s27f+1f3n@,0,0,5d,5s27f+1f3n@,0,1,0,1,5d,5,s27f+1f3n@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,s27f1f3n,s27f1f3,sff,3,2,1,40-30,0,4,3,0,0,0,,,3,5d,5 s27 f+1 f3n@,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,50,0,0,4,3,40-30,Adv,8,1,0,,2,1,MR,4d,5f28f3b3w@,,4d,5f28f3b3w@,0,0,4d,5f28f3b3w@,0,1,0,1,4d,5,f28f3b3w@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,f28f3b3w,f28f3b3,ffb,3,2,1,GM,2,4,4,0,0,0,,,3,4d,5 f28 f3 b3w@,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,51,0,0,4,4,0-0,Due,9,1,0,,1,2,RF,4f3n#,,,4f3n#,,0,,4f3n#,,1,,1,0,4,,f3n#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f3n,f3,f,1,1,1,15-0,0,4,4,0,0,0,,,1,4 f3n#,,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,52,0,0,4,4,15-0,Adv,9,1,0,,1,2,RF,4n,5v27f2b2f2b2f1f3b2n@,,4n,5v27f2b2f2b2f1f3b2n@,0,0,4n,5v27f2b2f2b2f1f3b2n@,0,1,0,1,4n,5,v27f2b2f2b2f1f3b2n@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,v27f2b2f2b2f1f3b2n,v27f2b2f2b2f1f3b2,vfbfbffb,8,2,0,15-15,0,4,4,0,0,0,,,8,4n,5 v27 f2 b2 f2 b2 f1 f3 b2n@,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,53,0,0,4,4,15-15,Due,9,1,0,,1,2,RF,4n,4f29f2f1r2n#,,4n,4f29f2f1r2n#,0,0,4n,4f29f2f1r2n#,0,1,0,1,4n,4,f29f2f1r2n#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f29f2f1r2n,f29f2f1r2,fffr,4,2,0,15-30,0,4,4,0,0,0,,,4,4n,4 f29 f2 f1 r2n#,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,54,0,0,4,4,15-30,Adv,9,1,0,,1,2,RF,4s28f1*,,,4s28f1*,,0,,4s28f1*,,1,,1,0,4,,s28f1*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,s28f1,s28f1,sf,2,1,1,30-30,0,4,4,0,0,0,,,3,4 s28 f1*,,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,55,0,0,4,4,30-30,Adv,9,1,0,,1,2,RF,4f29f2s1f2f1f1f+2b3n#,,,4f29f2s1f2f1f1f+2b3n#,,0,,4f29f2s1f2f1f1f+2b3n#,,1,,1,0,4,,f29f2s1f2f1f1f+2b3n#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f29f2s1f2f1f1f2b3n,f29f2s1f2f1f1f2b3,ffsffffb,8,2,0,30-40,0,4,4,0,0,0,,,8,4 f29 f2 s1 f2 f1 f1 f+2 b3n#,,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,56,0,0,4,4,30-40,Adv,9,1,0,,1,2,RF,6n,4f2n@,,6n,4f2n@,0,0,6n,4f2n@,0,1,0,1,6n,4,f2n@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,f2n,f2,f,1,1,1,40-40,0,4,4,0,0,0,,,1,6n,4 f2n@,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,57,0,0,4,4,40-40,Due,9,1,0,,1,2,RF,6d,6d,Federer incorrect challenge (1st serve),6d,6d,0,0,6d,6d,0,0,0,0,6d,6d,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,0,2,0,40-AD,0,4,4,0,0,0,,,0,6d,6d,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,58,0,0,4,4,40-AD,Adv,9,1,0,,1,2,RF,6n,5b28b2f2f2f2f1n@,,6n,5b28b2f2f2f2f1n@,0,0,6n,5b28b2f2f2f2f1n@,0,1,0,1,6n,5,b28b2f2f2f2f1n@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,b28b2f2f2f2f1n,b28b2f2f2f2f1,bbffff,6,2,0,GM,2,4,5,0,0,0,,,6,6n,5 b28 b2 f2 f2 f2 f1n@,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,59,0,0,4,5,0-0,Due,10,1,0,,2,1,MR,6*,,,6*,,0,,6*,,1,,0,0,6*,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,2,1,15-0,0,4,5,0,0,0,,,1,6*,,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,60,0,0,4,5,15-0,Adv,10,1,0,,2,1,MR,4s29f3b2f1r2n#,,,4s29f3b2f1r2n#,,0,,4s29f3b2f1r2n#,,1,,1,0,4,,s29f3b2f1r2n#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,s29f3b2f1r2n,s29f3b2f1r2,sfbfr,5,2,1,30-0,0,4,5,0,0,0,,,5,4 s29 f3 b2 f1 r2n#,,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,61,0,0,4,5,30-0,Due,10,1,0,,2,1,MR,4f29s3b1*,,,4f29s3b1*,,0,,4f29s3b1*,,1,,1,0,4,,f29s3b1*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,f29s3b1,f29s3b1,fsb,3,1,0,30-15,0,4,5,0,0,0,,,4,4 f29 s3 b1*,,
